Title2	description1	Sat, 02 Mar 2024 15:22:11 GMT	Dusseldorf	preview3.jpg	image21;image22;image23;image24;image25;image26	false	true	3	hotel	2	4	89110	Fridge	Julia;test@pisem.local;fde13rgt5;awesome-avatar.jpg;обычный	51.225402;6.776314
Title4	description2	Tue, 27 Feb 2024 15:22:11 GMT	Paris	preview1.jpg	image21;image22;image23;image24;image25;image26	true	true	3	house	2	2	96041	Washer;Towels;Fridge	Sofia;snow@pisem.local;wef4556;photo.jpg;обычный	52.370216;4.895168
Title3	description4	Tue, 27 Feb 2024 15:22:11 GMT	Hamburg	preview2.jpg	image21;image22;image23;image24;image25;image26	false	false	2	house	2	6	60302	Washer;Towels;Fridge	Anton;test@lost.loca;gdg12ef5;awesome-avatar.jpg;pro	53.550341;10.000654
Title2	description5	Tue, 27 Feb 2024 15:22:11 GMT	Dusseldorf	preview2.jpg	image41;image42;image43;image44;image45;image46	true	true	1	house	6	2	9986	Laptop friendly workspace;Baby seat;Washer	Julia;author@mir.local;fde13rgt5;awesome-avatar.jpg;pro	51.225402;6.776314
Title3	description3	Wed, 28 Feb 2024 15:22:11 GMT	Paris	preview1.jpg	image21;image22;image23;image24;image25;image26	true	true	4	room	6	6	46191	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels	Sergey;snow@pisem.local;qwe12345;awesome-avatar.jpg;pro	52.370216;4.895168
Title4	description4	Sat, 02 Mar 2024 15:22:11 GMT	Cologne	preview4.jpg	image41;image42;image43;image44;image45;image46	false	false	4	room	1	6	92542	Fridge	Sofia;freedom@pisem.local;wef4556;awesome-avatar.jpg;обычный	50.938361;6.959974
Title2	description4	Tue, 27 Feb 2024 15:22:11 GMT	Paris	preview2.jpg	image11;image12;image13;image14;image15;image16	false	false	5	hotel	8	4	14455	Towels;Fridge	Julia;test@lost.loca;fde13rgt5;smite.jpg;обычный	48.85661;2.351499
Title2	description2	Thu, 29 Feb 2024 15:22:11 GMT	Paris	preview2.jpg	image41;image42;image43;image44;image45;image46	false	true	5	house	1	7	68761	Baby seat;Washer;Towels;Fridge	Sergey;test@lost.loca;qwe12345;photo.jpg;pro	48.85661;2.351499
Title5	description1	Fri, 01 Mar 2024 15:22:11 GMT	Dusseldorf	preview3.jpg	image21;image22;image23;image24;image25;image26	true	true	5	house	6	2	41095	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Nikolay;fish@big.local;qwe12345;coffee.jpg;обычный	51.225402;6.776314
Title3	description3	Fri, 01 Mar 2024 15:22:11 GMT	Paris	preview3.jpg	image41;image42;image43;image44;image45;image46	false	false	3	apartment	2	1	40581	Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Nikolay;freedom@pisem.local;qwe12345;user.jpg;pro	52.370216;4.895168
